property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,pooja room,luxury_score,furnish_score,floor_category
flat,kondapur,2.0,2.0,1,New Property,1290.0,0.0,0.0,0.0,Low,unfurnished,High Floor
flat,miyapur,2.0,2.0,1,Under Construction,918.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,mokila,4.0,4.0,2,Under Construction,2715.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,srinagar colony,4.0,4.0,0,Old Property,4100.0,0.0,1.0,1.0,Low,unfurnished,Mid Floor
flat,gandimaisamma,2.0,2.0,2,Under Construction,1200.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,kukatpally,3.0,3.0,1,Moderately Old,1350.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,bachupally,2.0,2.0,2,Relatively New,1335.0,1.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,kukatpally,3.0,4.0,3,New Property,1636.0,0.0,0.0,1.0,Low,unfurnished,High Floor
flat,hastinapuram,2.0,2.0,1,New Property,1000.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,nacharam,2.0,2.0,1,New Property,1107.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,pocharam,3.0,3.0,2,Old Property,1443.0,0.0,0.0,0.0,Low,semifurnished,Mid Floor
flat,allwyn colony,2.0,2.0,1,Moderately Old,1125.0,1.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,shamshabad,3.0,3.0,2,New Property,1530.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,gundlapochampalli,3.0,3.0,1,New Property,1260.0,1.0,0.0,0.0,Medium,unfurnished,Mid Floor
flat,appa junction,2.0,2.0,1,New Property,1396.0,0.0,0.0,0.0,Medium,unfurnished,High Floor
flat,pocharam,2.0,2.0,1,Relatively New,980.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,kukatpally,2.0,2.0,2,New Property,1261.0,0.0,0.0,0.0,Medium,unfurnished,Mid Floor
flat,tolichowki,4.0,3.0,2,New Property,1830.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,kushaiguda,2.0,2.0,2,New Property,1010.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,puppalaguda,2.0,2.0,1,New Property,1314.0,0.0,0.0,0.0,High,unfurnished,High Floor
flat,sanath nagar,2.0,2.0,3,Moderately Old,1377.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,gandimaisamma,3.0,2.0,2,Under Construction,1510.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,madhapur,2.0,2.0,2,Moderately Old,1232.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,bairagiguda,1.0,1.0,0,Relatively New,535.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,kompally,2.0,2.0,1,New Property,842.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
