property_type,sectors,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,pooja room,furnish_type,luxury_category,floor_category
flat,kompally,2.0,2.0,2.0,Relatively New,1250.0,0.0,0.0,unfurnished,Medium,High Floor
flat,anand nagar colony,3.0,3.0,2.0,Under Construction,1795.0,0.0,1.0,unfurnished,Low,Low Floor
flat,gagan mahal,3.0,3.0,2.0,Relatively New,1500.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,saket,3.0,2.0,2.0,Moderately Old,1614.0,0.0,0.0,semifurnished,Medium,Mid Floor
flat,kokapet,3.0,3.0,2.0,New Property,1650.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,bhagya nagar colony,3.0,3.0,2.0,Old Property,1620.0,0.0,1.0,semifurnished,Medium,Low Floor
flat,bachupally,3.0,2.0,1.0,Under Construction,1353.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,rk puram,2.0,2.0,2.0,New Property,1150.0,0.0,1.0,unfurnished,Low,Low Floor
flat,ravindra nagar,2.0,2.0,2.0,New Property,1310.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,pocharam,2.0,2.0,1.0,New Property,1072.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,tellapur,3.0,3.0,4.0,Relatively New,2250.0,0.0,0.0,semifurnished,Medium,Mid Floor
flat,moti nagar,3.0,2.0,1.0,New Property,1583.0,0.0,0.0,unfurnished,Medium,Mid Floor
flat,madinaguda,3.0,3.0,1.0,Moderately Old,1440.0,0.0,1.0,semifurnished,High,High Floor
flat,banjara hills,3.0,2.0,1.0,Old Property,1740.0,1.0,0.0,semifurnished,Low,Mid Floor
flat,tellapur,2.0,2.0,2.0,New Property,1200.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,kompally,3.0,2.0,1.0,New Property,1525.0,0.0,0.0,unfurnished,Low,Low Floor
flat,kukatpally,2.0,2.0,2.0,Relatively New,1279.0,0.0,0.0,semifurnished,High,High Floor
flat,nagaram,3.0,3.0,1.0,Under Construction,863.0,0.0,1.0,unfurnished,Low,Mid Floor
flat,hayathnagar,3.0,3.0,1.0,Under Construction,1326.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,gajulramaram,3.0,3.0,2.0,Under Construction,1161.0,0.0,0.0,unfurnished,Medium,Mid Floor
flat,gajulramaram,3.0,2.0,2.0,Under Construction,1161.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,tarnaka,3.0,2.0,2.0,Moderately Old,1490.0,0.0,0.0,unfurnished,Medium,Mid Floor
flat,kokapet,3.0,3.0,2.0,Under Construction,1870.0,0.0,1.0,unfurnished,Low,Mid Floor
flat,nagaram,2.0,2.0,1.0,Relatively New,1050.0,0.0,1.0,unfurnished,Low,Mid Floor
flat,bowrampet,2.0,2.0,2.0,Relatively New,1122.0,0.0,0.0,unfurnished,Medium,Low Floor
flat,venkatapuram,2.0,2.0,3.0,Old Property,700.0,0.0,0.0,unfurnished,Low,Low Floor
flat,ramdas nagar,2.0,2.0,1.0,Old Property,915.0,0.0,0.0,unfurnished,Low,Mid Floor
